id,dia,horaInicio,duracao,idTurma,idSala,comment
2022020101,TER,10,2,20220201,,
2022020102,QUI,10,2,20220201,,
2022020103,QUI,12,2,20220201,,
2022020104,SEX,10,2,20220201,,
2022020613,SEG,8,2,20220206,,
2022020206,TER,16,2,20220202,,
2022020207,QUI,16,2,20220202,,
2022020308,TER,14,2,20220203,,
2022020309,QUI,14,2,20220203,,
2022020410,TER,8,2,20220204,,
2022020411,QUI,8,2,20220204,,
2022020412,QUI,10,2,20220204,,
2023023058,SEG,8,2,20230230,,
2022020614,QUA,8,2,20220206,,
2023023052,QUA,8,2,20230230,,
2022020816,TER,16,2,20220208,,
2022021020,SEG,10,2,20220210,,
2022020918,SEX,8,2,20220209,,
2022020919,SEX,10,2,20220209,,
2022021940,SEG,10,2,20220219,,
2022021021,QUA,10,2,20220210,,
2022021122,QUI,18,2,20220211,,
2022021533,QUA,10,2,20220215,,
2022021124,SEX,14,2,20220211,,
2022021225,TER,16,2,20220212,,
2022021226,QUI,16,2,20220212,,
2022021941,QUA,10,2,20220219,,
2022021123,QUA,14,2,20220211,,
2022021329,TER,14,2,20220213,,
2022021330,QUI,14,2,20220213,,
2022021327,SEG,14,2,20220213,,
2022021328,QUA,14,2,20220213,,
2022022246,SEG,14,2,20220222,,
2022021534,SEX,10,2,20220215,,
2022022247,QUA,14,2,20220222,,
2022020817,QUA,16,2,20220208,,
2022021737,TER,10,2,20220217,,
2022021738,QUI,10,2,20220217,,
2022021839,SEX,8,2,20220218,,
2022020205,SEG,16,2,20220202,,
2022021636,QUA,16,2,20220216,,
2022022042,TER,10,2,20220220,,
2022022043,QUI,10,2,20220220,,
2022020815,SEG,16,2,20220208,,
2022022145,SEX,16,2,20220221,,
2022022144,QUA,16,2,20220221,,
2022021635,SEG,16,2,20220216,,
2022022348,TER,8,2,20220223,,
2022022349,QUI,8,2,20220223,,
2022022450,TER,14,2,20220224,,
2022022451,SEX,10,2,20220224,,
2022021432,QUA,18,2,20220214,,
2022022653,SEX,8,2,20220226,,
2022022754,SEX,10,2,20220227,,
2022022855,SEX,14,2,20220228,,
2022022956,SEX,16,2,20220229,,
2022022957,TER,14,2,20220229,,
2022021431,SEG,18,2,20220214,,
2022023059,QUI,14,2,20220230,,
2022023060,QUI,8,2,20220230,,
2023010101,TER,8,2,20230101,,
2023010102,QUI,16,2,20230101,26,
2023010503,QUI,10,2,20230105,20,
2023010504,SEG,10,2,20230105,20,
2023010505,TER,10,2,20230105,20,
2023010706,QUI,10,2,20230107,15,
2023010707,SEX,10,2,20230107,6,
2023010908,TER,14,2,20230109,26,
2023010909,QUI,16,2,20230109,23,
2023011010,SEG,18,2,20230110,,
2023011111,SEX,10,2,20230111,6,
2023011212,SEG,14,2,20230112,2,
2023011313,TER,10,2,20230113,2,
2023011514,QUA,10,2,20230115,2,
2023011515,SEG,10,2,20230115,,
2023011716,QUA,10,2,20230117,,
2023011717,SEG,14,2,20230117,,
2023011818,QUI,14,2,20230118,,
2023012019,QUA,14,2,20230120,,
2023012020,TER,14,2,20230120,,
2023012121,SEG,14,2,20230121,,
2023012222,QUA,14,2,20230122,,
2023012323,TER,16,2,20230123,26,
2023012524,SEG,8,2,20230125,8,
2023012525,QUI,14,2,20230125,26,
2023012726,QUI,14,2,20230127,26,
2023012727,QUA,16,2,20230127,26,
2023012928,QUI,8,2,20230129,26,
2023012929,TER,8,2,20230129,26,
2023013130,SEX,14,2,20230131,6,
2023013131,SEX,16,2,20230131,2,
2023013232,QUA,10,2,20230132,26,
2023013333,SEG,8,2,20230133,3,
2023013434,QUA,8,2,20230134,26,
2023013535,TER,8,2,20230135,,
2023013736,QUA,8,2,20230137,20,
2023013737,SEG,8,2,20230137,20,
2023013938,SEG,10,2,20230139,3,
2023013939,TER,16,2,20230139,3,
2023014140,QUA,16,2,20230141,2,
2023014141,SEG,18,2,20230141,3,
2023014342,SEX,8,2,20230143,2,
2023014343,TER,14,2,20230143,2,
2023014544,SEX,8,2,20230145,2,
2023014545,TER,16,2,20230145,23,
2023014646,SEG,6,2,20230146,2,
2023014847,QUI,8,2,20230148,2,
2023014848,QUA,14,2,20230148,2,
2023015049,QUA,16,2,20230150,10,
2023015050,SEG,16,2,20230150,2,
2023015251,QUA,8,2,20230152,8,
2023015252,SEG,10,2,20230152,2,
2023015353,SEX,10,2,20230153,10,
2023015454,QUI,8,2,20230154,2,
2023015555,QUA,10,2,20230155,15,
2023015756,SEX,14,2,20230157,2,
2023015757,SEX,16,2,20230157,26,
2023015958,SEG,14,2,20230159,3,
2023015959,QUI,16,2,20230159,3,
2024010101,SEG,14,2,20240101,,
2024010102,QUA,14,2,20240101,,
2024010203,TER,8,2,20240102,,
2024010204,QUI,8,2,20240102,,
2024010205,SEX,8,2,20240102,,
2024010306,QUA,10,2,20240103,,
2024010307,SEX,10,2,20240103,,
2024010408,TER,16,2,20240104,6,
2024010409,QUI,16,2,20240104,6,
2024010510,TER,14,2,20240105,,
2024010511,QUI,14,2,20240105,,
2024010612,QUA,8,2,20240106,,
2024010713,SEX,14,3,20240107,,
2024010814,SEG,14,2,20240108,,
2024010815,QUA,14,2,20240108,,
2024010916,TER,8,2,20240109,,
2024010917,QUI,8,2,20240109,,
2024011018,SEG,14,2,20240110,,
2024011019,QUA,14,2,20240110,,
2024011120,SEG,16,2,20240111,11,
2024011221,QUA,8,2,20240112,,
2024011222,SEX,8,2,20240112,,
