id,year,semester,idSubject,idProfessor,expectedDemand,comment
20220201,2022,2,2,45,9,
20220202,2022,2,2,46,6,
20220203,2022,2,9,7,28,
20220204,2022,2,10,3,25,
20220205,2022,2,11,48,35,
20220206,2022,2,12,10,40,
20220207,2022,2,13,2,12,
20220208,2022,2,13,1,37,
20220209,2022,2,14,43,24,
20220210,2022,2,15,36,21,
20220211,2022,2,17,37,15,
20220212,2022,2,23,47,15,
20220213,2022,2,28,12,3,
20220214,2022,2,29,11,12,
20220215,2022,2,30,6,10,
20220216,2022,2,31,3,14,
20220217,2022,2,37,4,10,
20220218,2022,2,39,42,14,
20220219,2022,2,40,3,3,
20220220,2022,2,42,36,14,
20220221,2022,2,43,48,13,
20220222,2022,2,43,1,8,
20220223,2022,2,44,2,12,
20220224,2022,2,45,4,10,
20220225,2022,2,46,30,7,
20220226,2022,2,47,6,20,
20220227,2022,2,56,1,,
20220228,2022,2,58,3,,
20220229,2022,2,59,3,,
20220230,2022,2,65,1,9,
20230103,2023,1,3,51,35,
20230109,2023,1,7,42,,
20230110,2023,1,16,36,4,
20230111,2023,1,18,36,5,
20230112,2023,1,20,38,5,
20230113,2023,1,22,36,3,
20230114,2023,1,22,37,,
20230115,2023,1,22,38,,
20230116,2023,1,23,13,13,
20230117,2023,1,24,8,12,
20230118,2023,1,25,51,45,
20230119,2023,1,26,4,35,
20230120,2023,1,27,3,45,
20230121,2023,1,27,3,45,
20230122,2023,1,27,3,16,
20230123,2023,1,27,3,16,
20230124,2023,1,28,8,30,
20230125,2023,1,34,10,11,
20230127,2023,1,36,5,13,
20230128,2023,1,37,2,10,
20230131,2023,1,48,1,12,
20230132,2023,1,54,29,,
20230133,2023,1,57,39,,
20230134,2023,1,58,3,,
20230135,2023,1,59,3,,
20230137,2023,1,69,4,10,
20230201,2023,2,2,,,
20230202,2023,2,7,,,
20230203,2023,2,8,7,,
20230204,2023,2,10,9,,
20230205,2023,2,11,49,,
20230206,2023,2,12,8,,
20230207,2023,2,13,1,,
20230208,2023,2,14,,,
20230209,2023,2,16,,,
20230210,2023,2,16,,,
20230211,2023,2,18,,,
20230212,2023,2,28,8,,
20230213,2023,2,29,28,,
20230214,2023,2,30,50,,
20230215,2023,2,31,3,,
20230216,2023,2,32,2,,
