duration; startHour; day; year; semester; expectedSemester; subject; professor; expectedDemand; room; classDescription
2;14; TER;2019;2;2; Álgeb Linear; Elba; None; None; None
2;14; QUI;2019;2;2; Álgeb Linear; Elba; None; None; None
2;14; TER;2023;2;2; Algebra Linear; Elba; None; 106P3; None
2;14; QUI;2023;2;2; Algebra Linear; Elba; None; 106P3; None
2;14; TER;2022;1;2; Algebra Linear; Elba; None; Apitão; None
2;14; TER;2022;2;2; Algebra Linear; Elba;28; None; None
2;14; QUI;2022;2;2; Algebra Linear; Elba;28; None; None
2;14; QUI;2022;1;2; Algebra Linear; Elba; None; None; None
2;10; SEG;2024;1;9; Algoritmos em Grafos; L Mariano; None; Inf1; None
2;10; QUA;2024;1;9; Algoritmos em Grafos; L Mariano; None; Inf1; None
2;16; QUI;2024;1;9; Algoritmos em Grafos; L Mariano; None; Inf1; None
2;14; TER;2022;1;4; Análi Proj Sist; Ausberto; None; None; None
2;14; QUI;2022;1;4; Análi Proj Sist; Ausberto; None; None; None
2;16; QUI;2019;2;4; Análise e Projeto; aus; None; BInf1; None
2;10; TER;2023;2;4; Analise Proj Sist; Ausb; None; 109A; None
2;10; QUI;2023;2;4; Analise Proj Sist; None; None; Inf1 e Inf2; None
2;16; TER;2019;2;4; Análise Projeto; aus; None; BInf1; None
2;8; SEG;2023;1;3; Arquitet C; Sanya;45; 106P3; None
2;8; QUA;2023;1;3; Arquitet C; Sanya;45; 106P3; None
2;8; QUA;2024;1;3; Arquitet C; Bolsista;30; None; None
2;8; SEX;2024;1;3; Arquitet C; Bolsista;30; None; None
2;14; TER;2019;1;3; Arquitet Comp; Osniel; None; B1; None
2;14; QUI;2019;1;3; Arquitet Comp; Osniel; None; B1; None
2;14; TER;2020;1;3; Arquitet Comp; None; None; B2; None
2;14; QUI;2020;1;3; Arquitet Comp; None; None; B2; None
2;18; QUA;2022;1;3; Arquitetura; Átila; None; None; None
2;18; SEX;2022;1;3; Arquitetura; Átila; None; None; None
2;10; QUA;2023;2;6; B Dados II; None;11; Inf1; None
2;10; SEG;2023;2;6; B Dados II; L Mariano; None; None; None
2;10; SEG;2020;1;5; Banco Dados 1; Luiz M; None; 108P3; None
2;10; QUI;2020;1;5; Banco Dados 1; Luiz M; None; 108P3; None
2;10; QUI;2019;1;5; Banco Dados 1; Luiz M; None; B1; None
2;10; SEG;2019;1;5; Banco Dados I; None; None; None; None
2;8; SEG;2019;2;6; Banco de dados 2; LM; None; Binf2; None
2;10; SEG;2019;2;6; Banco de dados 2; LM; None; BInf2; None
2;16; QUA;2022;1;5; Banco de Dados I; Sânya; None; None; None
2;16; SEX;2022;1;5; Banco de Dados I; Sânya; None; None; None
2;16; SEG;2022;1;6; Banco de Dados II; Annabell; None; None; None
2;18; SEG;2022;1;6; Banco de Dados II; Annabell; None; None; None
2;16; QUA;2022;2;6; Banco de Dados II; Sânya;13; None; None
2;16; SEX;2022;2;6; Banco de Dados II; Sânya;13; None; None
2;16; SEG;2024;1;5; BD I; L Mariano;27; BP3; None
2;16; QUA;2024;1;5; BD I; L Mariano;27; BP3; None
2;16; TER;2023;1;5; BD I; L Mariano;13; inf1; None
2;16; QUI;2023;1;5; BD I; L Mariano;13; inf1; None
2;14; SEG;2023;1;4; C Numérico; Oscar;30; 108P3; None
2;14; QUA;2023;1;4; C Numérico; Oscar;30; 108P3; None
2;10; SEG;2022;1;4; Cálc Núm; Elba; None; Apitão; None
2;10; QUA;2022;1;4; Cálc Núm; Elba; None; Apitão; None
2;14; SEG;2023;2;4; Calc Numérico; Oscar; None; 108P3; None
2;14; QUA;2023;2;4; Calc Numérico; Oscar; None; 108P3; None
2;14; SEG;2019;2;4; Cálc Numérico; None; None; None; Eng e Comp
2;14; QUA;2019;2;4; Cálc Numérico; None; None; None; Eng e Comp
2;8; TER;2019;2;2; Calculo Dif e Int 2; None; None; None; Eng e Comp
2;8; QUI;2019;2;2; Calculo Dif e Int 2; None; None; None; Eng e Comp
2;10; QUI;2019;2;2; Calculo Dif e Int 2; None; None; None; Eng e Comp
2;8; SEG;2019;1;1; Calculo I; Mylane; None;106; None
2;8; QUA;2019;1;1; Calculo I; Mylane; None;106; None
2;10; SEG;2019;1;1; Calculo I; Mylane; None;106; None
2;10; QUA;2019;1;1; Calculo I; Mylane; None;106; None
2;10; TER;2023;2;1; Calculo I; None; None; 106P3; None
2;10; QUI;2023;2;1; Calculo I; None; None; 106P3; None
2;10; SEX;2023;2;1; Calculo I; None; None; 106P3; None
2;8; TER;2023;1;1; Calculo I; Rigob;40; 108P3; None
2;8; QUI;2023;1;1; Calculo I; Rigob;40; 108P3; None
2;8; SEX;2023;1;1; Calculo I; Rigob;40; 108P3; None
2;8; TER;2020;1;1; Calculo I; Oscar; None; 207P3; C
2;8; QUI;2020;1;1; Calculo I; Oscar; None; 207P3; C
2;8; SEX;2020;1;1; Calculo I; Oscar; None; 207P3; C
2;10; TER;2022;2;1; Calculo I; Bruna;9; None; None
2;10; SEX;2022;2;1; Calculo I; Bruna;9; None; None
2;11; QUI;2022;2;1; Calculo I; Bruna;9; None; None
2;12; QUI;2022;2;1; Calculo I; Bruna;9; None; None
2;16; SEG;2022;2;1; Calculo I; Niander;6; None; None
2;16; TER;2022;2;1; Calculo I; Niander;6; None; None
2;16; QUI;2022;2;1; Calculo I; Niander;6; None; None
2;8; QUI;2024;1;1; Calculo I; None; None; None; None
2;8; SEX;2024;1;1; Calculo I; None; None; None; None
2;8; TER;2022;1;1; Calculo I; Oscar; None; None; None
2;8; QUI;2022;1;1; Calculo I; Oscar; None; None; None
2;8; SEX;2022;1;1; Calculo I; Oscar; None; None; None
2;8; TER;2024;1;1; Calculo I; Rigoberto;35; None; None
2;8; SEG;2019;1;2; Calculo II; Oscar; None;107; None
2;8; QUA;2019;1;2; Calculo II; Oscar; None;107; None
2;8; TER;2023;2;2; Calculo II; Rigoberto; None; 106P3; None
2;8; QUI;2023;2;2; Calculo II; Rigoberto; None; 106P3; None
2;10; TER;2022;1;2; Calculo II; Paulo D; None; Apitão; None
2;8; TER;2022;2;2; Calculo II; Oscar;25; None; None
2;8; QUI;2022;2;2; Calculo II; Oscar;25; None; None
2;10; QUI;2022;2;2; Calculo II; Oscar;20; None; None
2;10; QUI;2022;1;2; Calculo II; Paulo D ; None; None; None
2;8; TER;2023;1;3; Calculo III; Oscar;12; 106P3; None
2;8; QUI;2023;1;3; Calculo III; Oscar;60; 106P3; None
2;8; TER;2019;1;3; Calculo III; None; None; 206 207; None
2;8; QUI;2019;1;3; Calculo III; None; None; 206 207; None
2;8; TER;2020;1;3; Calculo III; Rigoberto; None; 206P3; None
2;8; QUI;2020;1;3; Calculo III; Rigoberto; None; 206P3; None
2;8; TER;2024;1;3; Calculo III; Oscar;15; None; None
2;8; QUI;2024;1;3; Calculo III; Oscar;15; None; None
2;10; TER;2019;2;4; Calculo III; Oscar; None; None; None
2;10; QUI;2019;2;4; Calculo III; Oscar; None; None; None
2;8; QUA;2022;1;3; Calculo III; Rigoberto; None; None; None
2;14; SEX;2022;1;3; Calculo III; Rigoberto; None; None; None
2;14; SEG;2022;2;4; Calculo Numérico; Wilma;3; None; None
2;14; QUA;2022;2;4; Calculo Numérico; Wilma;3; None; None
2;16; QUA;2023;2;8; Comp Ambiental; None; None; Inf1; None
2;16; SEG;2023;2;8; Comp Ambiental; Eduardo; None; None; None
2;8; SEX;2023;2;5; Comp e Socied; None;23;107; None
2;8; SEX;2022;2;5; Comp e Socied; Bolsista;14; None; None
2;10; TER;2019;2;6; Compiladores; João; None; BInf2; None
2;11; QUI;2019;2;6; Compiladores; João; None; BInf2; None
2;16; QUI;2023;2;6; Compiladores; None; None; Inf1; None
2;10; TER;2022;2;6; Compiladores; Bolsista;14; None; None
2;11; QUI;2022;2;6; Compiladores; Bolsista;14; None; None
2;16; TER;2023;2;6; Compiladores; L Mariano; None; None; None
2;10; QUA;2022;1;6; Comput Gráfica; Rivera; None; None; None
2;14; SEG;2022;1;6; Comput Gráfica; Rivera; None; None; None
2;10; SEX;2024;1;5; Computação e Sociedade; Bolsista;30; None; None
2;8; SEG;2020;1;5; Computação e Sociedade; None; None; None; None
2;8; SEG;2019;1;5; Computação e Sociedade; None; None; None; None
2;14; TER;2020;1;8; Empreend; Edson; None; 220 E1; None
2;10; QUI;2023;1;8; Empreendedorismo; None; None; 109A; None
2;14; QUA;2022;1;8; Empreendedorismo; Edson; None; None; None
2;8; QUA;2022;1;7; Eng Apoiada Comp; L Maur; None; None; None
2;10; TER;2022;1;7; Eng Apoiada Comp; L Maur; None; None; None
2;10; TER;2023;2;8; Eng de Dados; Annabell; None; None; None
2;10; QUI;2023;2;8; Eng de Dados; Annabell; None; None; None
2;16; QUI;2019;1;5; Eng de Soft; Ausb; None; B1; None
2;14; QUI;2020;1;5; Eng Software; Ausb; None; B1 P5; None
2;14; TER;2020;1;5; Eng Software; Ausb; None; B1 P5 ; None
2;14; TER;2024;1;5; Eng Software; Ausb;28; BP3; None
2;14; QUI;2024;1;5; Eng Software; Ausb;28; BP3; None
2;16; TER;2019;1;5; Engenharia de Soft; Ausb; None; B1 ; None
2;14; SEG;2022;1;5; Engenharia de Software; None; None; None; None
2;14; QUA;2022;1;5; Engenharia de Software; None; None; None; None
2;10; SEG;2023;1;3; Est Dados I; Tang;45; 106P3; None
2;10; QUA;2023;1;3; Est Dados I; Tang;45; 106P3; None
2;10; SEG;2024;1;3; Est Dados I; Tang;25; BP3; None
2;10; QUA;2024;1;3; Est Dados I; Tang;25; BP3; None
2;10; SEX;2023;1;3; Est Dados I; Tang;16; inf2; CC1
2;16; TER;2023;1;3; Est Dados I; Tang;16; inf2;CC1
