SALA 108  Prédio do CCT - 2o. Semestre 2022,,,,,,
Capacidade: 40 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,Metaheurística,Introdução à Probabilidade e Estatística Prof. Edson,Inglês Técnico,Inglês Instrumental II,
09:00 - 10:00,,,,,,
10:00 - 11:00,Física Geral II,Profa. Jacqueline,Física Geral II,Prof. Sergio,Prof. Sergio,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,Introdução à Probabilidade e,,,
13:00 - 14:00,,,Estatística Prof. Edson,,,
14:00 - 15:00,Cálculo Diferencial e Integral II Prof. Oscar,Química Orgânica,Cálculo Diferencial e Integral II,Monitoria Química Geral I,,
15:00 - 16:00,,,,,,
16:00 - 17:00,Cálculo Diferencial,Cálculo Diferencial,,Cálculo Diferencial,,
17:00 - 18:00,Prof. Niander,Prof. Niander,,Prof. Niander,,
18:00 - 19:00,Cálculo Diferencial e Integral I LF-LQ Prof. Niander,Cálculo Diferencial e Integral II Prof. Niander,Bioquímica Geral,Cálculo Diferencial e Integral II Prof. Niander,Química Analítica I Profa. Cristina,
19:00 - 20:00,,,,,,
20:00 - 21:00,,Cálculo Diferencial e Integral I LF-LQ Prof. Niander,Prof. Jorge Hernandez,Cálculo Diferencial e Integral I LF-LQ Prof. Niander,,
21:00 - 22:00,,,,,,
