SALA 109-A  Prédio do CCT - 1o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,Cálculo Diferencial e Integral I Prof. Letícia,,Cálculo Diferencial e Integral I Prof. Letícia,Cálculo Diferencial e Integral I Prof. Letícia,
09:00 - 10:00,,,,,,
10:00 - 11:00,"Princípio, obtenção sinterização... Prof. José Nilson","Princípio, obtenção sinterização... Prof. José Nilson",Cerâmica vermelha estrutural,Empreendedorismo Prof. André,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,de energia Prof. Alzimar,Física Profa. Elaine,Química Geral I Prof.,Gerência de,Organização Industrial/ Organização das,
15:00 - 16:00,,,,,,
16:00 - 17:00,,,,Prof. Edson,Industrias Prof. Décio,
17:00 - 18:00,Sistemas de,,,,,
18:00 - 19:00,Prof. Carlos,Química Analítica II Profa. Cristina,Métodos Físicos de Análise I Profa. Leda,Química Analítica II Profa. Cristina,,
19:00 - 20:00,,,,,,
20:00 - 21:00,Métodos Físicos de Análise I Profa. Leda,,,,,
21:00 - 22:00,,,,,,
