SALA 211- E1  Prédio da REITORIA - 1o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,,,,
09:00 - 10:00,Análise Experimental de Tensões Prof. Eduardo,,,Conformação Mecânica Prof. Marcello,Processamento de Placas Cerâmicas Prof. José Nilson,
10:00 - 11:00,,,,,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,,,Propriedades,,,
15:00 - 16:00,,de Materiais,tecnológicas de argamassas...,,,
16:00 - 17:00,Avançada,,Prof. Jonas,Ciência e,,
17:00 - 18:00,,,,Materiais,,
18:00 - 19:00,,Lab. Física II,,Djalma e Elaine,,
19:00 - 20:00,,Profa. Ellen,,,,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
