SALA 1 P10 - 1o. Semestre 2023(50 carteiras),,,,,,
Capacidade:  alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,Monitoria Análise Estrutural,Inglês,Monitoria Análise Estrutural,Inglês,
09:00 - 10:00,,,,,,
10:00 - 11:00,,,Instrumental II,,Instrumental I,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,,Química Geral I Prof. Rodrigo,Português,Química Geral I Prof. Rodrigo,Inglês Instrumental II,
15:00 - 16:00,,,,,,
16:00 - 17:00,,Ensino e Aprendizagem,Prof.,,,
17:00 - 18:00,,Profa. Rosana,,,,
18:00 - 19:00,,,,,,
19:00 - 20:00,,,,,,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
Legendas: PG=Pós-Graduação; LF=Licenciatura em Física; LM=Licenciatura em Matemática; LQ=Licenciatura em Química,,,,,,
