SALA 220 E1  Prédio da REITORIA - 2o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,,Obras Geotécnicas,Teoria da,
09:00 - 10:00,Propriedades físicas,,,Prof. Diversos,Prof. Carlos E.,
10:00 - 11:00,e químicas de materiais cimentícios Prof. Guilherme,Estruturas Prof. Niander,Elementos finitos Profa. Vânia,,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,T.E.E.E.,,
14:00 - 15:00,Tecnologia em cerâmica vermelha,Obras Geotécnicas Prof. Diversos,,Alvenaria Estrutural Prof. Niander,Uso da abordagem STEAM na aprendizagem...,
15:00 - 16:00,,,,,,
16:00 - 17:00,,,,,Prof. R. Faria,
17:00 - 18:00,,,,,,
18:00 - 19:00,,,,Propriedade Intelectual Prof. Molina,,
19:00 - 20:00,,materiais,Organização da,,,
20:00 - 21:00,,,Brasileira,,Propriedade Intelectual Prof. Molina,
21:00 - 22:00,,,,,,
