SALA 109-A  Prédio do CCT - 2o. Semestre 2022,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,Construção Civil,,,Mineralogia,
09:00 - 10:00,,Prof. Jonas,,Aquecimento Global e,Profa. Márcia,
10:00 - 11:00,,Mineralogia Profa. Márcia,Gestão Estratégica Prof. Manuel Molina,Ciência da Complexidade Prof. Marcelo Sthel,Gestão Estratégica Prof. Manuel Molina,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,Metalurgia Geral Profa. Lioudmila,,,,
14:00 - 15:00,Profa. Lioudmila,Materiais Eletrônicos Prof. Herval,Química Orgânica,Química Medicinal Profa. Leda Mathias,Química Orgânica Profa. Leda Mathias,
15:00 - 16:00,,,,,,
16:00 - 17:00,Materiais Eletrônicos Prof. Herval,Química Medicinal Profa. Leda Mathias,Química Ambiental Profa. Cristina,Monitoria Química Geral I,,
17:00 - 18:00,,,,,,
18:00 - 19:00,,Química Inorgânica I Prof. Fernando,Prática de Ensino de Química I Profa. Rosana,Química Orgânica II Prof. Carlos,,
19:00 - 20:00,,,,,,
20:00 - 21:00,Estágio Supervisionado III Profa. Rosana,Química Orgânica II Prof. Carlos,Estágio Supervisionado I Profa. Rosana,Química Inorgânica I Prof. Fernando,,
21:00 - 22:00,,,,,,
