SALA 211- E1  Prédio da REITORIA - 1o. Semestre 2022,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Estradas e,,,,,
09:00 - 10:00,Prof. Paulo,Transportes,,Solos II,Técnicas de,
10:00 - 11:00,Mecânica dos,,Pavimentação,,Cerâmica Vermelha,
11:00 - 12:00,Prof. Saboya,,,Análise,Prof. José Nilson,
12:00 - 13:00,,,,Profa. Vânia,,
13:00 - 14:00,,,,,,
14:00 - 15:00,Matérias Jurídicas: Contratos Prof. Dylmar,,Metodologia Prof. Alzimar,,Siderurgia,
15:00 - 16:00,,,,,,
16:00 - 17:00,Propriedades do concreto no estado endurecido,Análise Estrutural III Profa. Vânia,,Ciência e Tecnologia dos Materiais,Profa. Alessandra,
17:00 - 18:00,,,,,,
18:00 - 19:00,Prof. Guilherme,Sustentabilidade,,Djalma e Elaine,Projeto de Graduação Profa. Alessandra,
19:00 - 20:00,,Prof. Afonso,,,Estágio Profa. Alessandra,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
