SALA 219 E1  Prédio da REITORIA - 1o. Semestre 2022,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Percolação e Adensamento Prof. Tibana,,Concreto Protendido,,,
09:00 - 10:00,,,,,,
10:00 - 11:00,,Saneamento e,,,,
11:00 - 12:00,com Fibras naturais,Prof. Gustavo Xavier,,,Concreto Armado I Prof. Sergio,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,Pesquisa Operacional Profa. Cristiane,Concreto Armado I Prof. Sergio,Pesquisa Operacional Profa. Cristiane,Patologia de Estrutures de Concreto Armado,,
15:00 - 16:00,,,,,,
16:00 - 17:00,Saneamento e,,,Prof. Dylmar,,
17:00 - 18:00,Prof. Gustavo Xavier,Seleção de,,,,
18:00 - 19:00,,Prof. Terrones,,,,
19:00 - 20:00,,,,,,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
