SALA 206 E1   Prédio da REITORIA -1o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,,,,
09:00 - 10:00,,,,,,
10:00 - 11:00,,,,,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,,dos Materiais Prof. Niander,Processamento e carac. de ferramentas diamantadas,,,
15:00 - 16:00,,,,,,
16:00 - 17:00,,,Prof. Marcello,,,
17:00 - 18:00,Analítica,Fundição Prof. Terrones,,,,
18:00 - 19:00,,,,,,
19:00 - 20:00,,Soldagem,,Soldagem,,
20:00 - 21:00,,Prof. Paranhos,,Prof. Paranhos,Estágio,
21:00 - 22:00,,,,,Prof. Terrones,
