SALA 205 E1 (LCMAT)  Prédio da REITORIA - 2o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,Modelos constitutivos,,Pedologia e M.,
09:00 - 10:00,,Mecânica da,p/Materiais ... Profs. Aldo/Saboya,,das Argilas Prof. Gustavo,
10:00 - 11:00,Geotecnia das Fundações Profs. Paulo e Juliana,Fratura Prof. Eduardo Atem,Mineralogia das Argilas Prof. Gustavo,Prof. Gines,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,Metalurgia Geral Profa. Lioudmila,,,,
14:00 - 15:00,Metalurgia Geral Profa. Lioudmila,Mecânica das Rochas,,,,
15:00 - 16:00,,,,,,
16:00 - 17:00,,,,,,
17:00 - 18:00,,,,,Graduação,
18:00 - 19:00,Materiais,,,,,
19:00 - 20:00,,,Ensaios não,Tratamentos,,
20:00 - 21:00,,,Prof. Ronaldo Graduação,Profa. Elaine,,
21:00 - 22:00,,,,,,
