SALA 205  E1 - 1o. Semestre 2024,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,,,,
09:00 - 10:00,Prop. Físicas e químicas de materiais cimencios Prof. Guilherme,Cálculo Numérico aplicado à Eng. Prof. Gines,Matemáca aplicada à Engenharia Profa. Vania,,Processamento de Placas Cerâmicas para pisos e revesmentos Prof. José Nilson,
10:00 - 11:00,,,,,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,Estrutura e,
14:00 - 15:00,,,,,propriedades de polímeros,
15:00 - 16:00,Análise Estrutural Avançada Prof. Sérgio Luis,Mecânica das Rochas Prof. Aldo,Organização do Trabalho Prof. Frederico,,Prof. Ruben,
16:00 - 17:00,Ciência e tecnologis,,,,,
17:00 - 18:00,,,"dos materiais Profs. Alessandra,",,,
18:00 - 19:00,,,,Djalma e Elaine,,
19:00 - 20:00,,,,,,
20:00 - 21:00,,,,,,
