SALA 220 E1  Prédio da REITORIA - 1o. Semestre 2022,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Materiais,,,Obras Geotécnicas,,
09:00 - 10:00,Prof. José Nilson,,,Prof. DIVERSOS,,
10:00 - 11:00,"Concreto Armado IIProf. Leandro","Matemática Aplicadaà EngenhariaProf. Aldo","Cerâmicos IIProf. José Nilson","Matemática Aplicadaà EngenhariaProf. Aldo","Concreto Armado IIProf. Leandro",
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,"Análise EstruturalAvançadaProf. Rancés","Obras GeotécnicasProf. DIVERSOS","PortuguêsInstrumental I","Método dosElementos FinitosProfa. Vânia","Resistênciados Materiais",
15:00 - 16:00,,,,,,
16:00 - 17:00,,,,,,
17:00 - 18:00,,,,,,
18:00 - 19:00,,,,,,
19:00 - 20:00,,,Resistência,,,
20:00 - 21:00,,,dos Materiais,,,
21:00 - 22:00,,,,,,
