SALA 205 E1 (LCMAT)  Prédio da REITORIA - 1o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,,,,,
09:00 - 10:00,,,,,,
10:00 - 11:00,"Prova FísicaExperimental I - TA24/04 e 12/06","Prova FísicaExperimental I - TD20/06","Prova FísicaExperimental I - TG24/04 e 12/06",,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,,"Prova FísicaExperimental I - TE24/04 e 13/06","Prova FísicaExperimental I - TH24/04 e 12/06",,,
15:00 - 16:00,,,,,,
16:00 - 17:00,Prova Física,,,,,
17:00 - 18:00,24/04 e 12/06,,,,,
18:00 - 19:00,Prova Física,Prova Lab. Física III,,,,
19:00 - 20:00,24/04 e 12/06,13/06/2023,,,,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
