SALA 112 P5 - 1o. Semestre 2023,,,,,,
Capacidade: 24 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,,Termodinâmica,,Termodinâmica,Int. à Probabilidade e,
09:00 - 10:00,,Prof. Raul,Estatística para,Prof. Raul,Prof. Patrick,
10:00 - 11:00,"Linearprofa. Elba","Museus e espaçosde ciênciaProfa. Simonne","Tratamento deDadosProf. Gustavo",,,
11:00 - 12:00,,,,,,
12:00 - 13:00,,,,,,
13:00 - 14:00,,,,,,
14:00 - 15:00,"Fundamentos deCálculo",,"Fundamentos deanálise de invest.Prof. Rodrigo",,"Ciência dosMateriais",
15:00 - 16:00,,,,,,
16:00 - 17:00,,,,,Aula extra,
17:00 - 18:00,"Seminário IProf. Nelson",,,,,
18:00 - 19:00,"Físico-Química IIProf. Alexandre","Métodos Mat.Para FísicaProf. Lucas",,"Físico-Química IIProf. Alexandre",,
19:00 - 20:00,,,,,,
20:00 - 21:00,,,,,,
21:00 - 22:00,,,,,,
