SALA 211- E1  Prédio da REITORIA - 2o. Semestre 2023,,,,,,
Capacidade: 35 alunos,,,,,,
Horário,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO
07:00 - 08:00,,,,,,
08:00 - 09:00,Percolação e,,,,,
09:00 - 10:00,Prof. S. Tibana,,,,Técnicas de,
10:00 - 11:00,,"FraturaProf. E. Atem","Materiais CompósitosReforçados comFibras Naturais","Gerenciamento eGestão de ResíduosSólidos ...","Cerâmica Vermelhae EstruturalProf. José Nilson",
11:00 - 12:00,,,,,,
12:00 - 13:00,,,Prof. Felipe,Markssuel,,
13:00 - 14:00,,,,,,
14:00 - 15:00,"Utilização de MateriaisSuperduros na Ciência ena Indústria","EnsaiosMetalográficos","F. Básicos doComportamento...Profa. Alessandra",,"Processamento deMateriaisTermoplásticos...",
15:00 - 16:00,,,,,,
16:00 - 17:00,Prof. M. Filgueira,,,Metodologia da,Prof. Djalma,
17:00 - 18:00,Ressonância,,"CorrosãoProfa. Elaine",Prof. Djalma,,
18:00 - 19:00,"MagnéticaEletrônica",,,,Pré-Projeto,
19:00 - 20:00,Prof. R. Franco,,,,Prof. Décio,
20:00 - 21:00,,,,,"Projetode GraduaçãoProf. Décio",
21:00 - 22:00,,,,,,
